V1	V2	V3	V4	V5
362	6	146	349	639	4.49986040429942
363	143	152	349	3091	4.49964417518411
364	143	349	1482	1592	4.49961008897159
365	310	349	668	1592	4.4995201339007
366	143	152	349	813	4.49921967518411
367	6	143	349	1418	4.49906965144354
368	6	143	349	1299	4.49877853115257
369	241	349	531	1592	4.49865214250692
370	143	241	349	939	4.49864732500136
371	6	143	349	564	4.49859101998502
372	349	668	1083	1267	4.49828134175909
373	14	143	241	349	4.49804407500136
374	143	152	349	879	4.49797767518411
375	6	143	189	349	4.49795203115257
376	6	139	146	349	4.49775244245316
377	146	280	349	1592	4.49770844209448
378	6	143	349	3799	4.49769165659252
379	152	222	280	349	4.49766609888394
380	146	280	349	668	4.49742948531633
381	6	143	349	3235	4.49709303115257
382	222	349	668	1083	4.4968635273044
383	143	349	719	1096	4.49666912613181
384	241	349	1096	1592	4.49662858359584
385	6	143	152	168	4.49657454935751
386	143	152	349	543	4.49639192518411
387	143	280	349	1083	4.4963617421645
388	143	152	349	4343	4.49631017518411
389	6	349	392	1592	4.49628798957487
390	6	143	349	646	4.49614294057366
391	6	280	349	392	4.49610498285551
392	146	168	349	646	4.49599846880584
393	6	280	349	1041	4.49596140197364
394	6	146	349	617	4.49564869245316
395	146	152	349	551	4.49561343302387
396	146	152	349	899	4.49559597378147
397	6	143	349	3191	4.49539378115257
398	6	46	143	349	4.49536953115257
399	6	143	349	3444	4.49521278115257
400	143	152	349	1028	4.49516044475585
401	247	349	668	1592	4.49502078161736
402	143	152	349	2320	4.49499517518411
403	6	143	146	168	4.49485589806811
404	6	143	349	3091	4.49482878115257
405	14	146	152	349	4.49465297378147
406	6	146	349	521	4.4944140615023
407	146	168	349	564	4.49441135409506
408	280	349	668	1592	4.49433566229937
409	6	146	266	349	4.49422119544423
410	152	349	668	2184	4.49413362441374
411	152	349	1083	1592	4.49413238439083
412	152	203	241	349	4.49398346362035
413	143	152	349	842	4.49395717518411
414	6	143	349	2334	4.49392253115257
415	146	280	349	719	4.49387893443907
416	6	152	241	349	4.49379495408593
417	6	143	289	349	4.49372053115257
418	6	143	349	793	4.49363204736571
419	6	168	241	349	4.49350918552302
420	6	143	349	465	4.49345578115257
421	143	349	668	719	4.4933934787084
422	143	241	349	1319	4.49323132500136
423	143	280	349	551	4.49312233360262
424	146	280	349	551	4.49303452355583
425	14	152	349	1592	4.49293741745764
426	6	143	349	543	4.49281028115257
427	152	349	668	2246	4.49255776673409
428	152	241	349	1267	4.49252991920372
429	143	152	349	1728	4.49252442518411
430	6	146	349	1669	4.49241121385682
431	168	349	1096	1592	4.49214883794985
432	143	152	349	359	4.49211109878621
433	6	152	349	1482	4.49187425974473
434	143	241	349	579	4.49184182500136
435	6	146	349	1532	4.4918076507632
436	6	143	349	739	4.49178953115257
437	152	310	349	1592	4.49173753917037
438	143	211	349	668	4.4917206593955
439	6	143	349	3622	4.49163653115257
440	349	668	677	1083	4.49154751235679
441	143	280	349	2213	4.4914983380654
442	143	152	349	739	4.49142739120167
443	146	349	1083	1096	4.49141645162474
444	143	349	392	1482	4.49115037807214
445	349	668	1083	1418	4.49109683522125
446	143	280	349	531	4.49079641769452
447	143	152	289	349	4.49060567518411
448	6	143	349	879	4.49057703115257
449	143	203	349	1482	4.49035688086979
450	53	143	152	349	4.49035659018941
451	143	152	349	2100	4.49030142518411
452	6	146	349	939	4.49025519245316
453	143	349	415	668	4.49024582250187
454	146	152	349	579	4.48982647378147
455	143	152	156	349	4.48982242518411
456	6	143	349	2320	4.48976978115257
457	143	241	349	376	4.48931953153444
458	143	152	349	546	4.48919638705023
459	143	241	349	1669	4.48912488456775
460	6	143	349	1487	4.48886303115257
