V1	V2	V3	V4	V5	V6
601	143	152	241	349	916	7.45550859890772
602	146	241	349	531	1096	7.45534680521206
603	143	152	241	349	407	7.45517834890772
604	6	143	146	349	1073	7.45512506197922
605	152	349	668	1083	1669	7.4550779211094
606	6	146	349	668	1096	7.45500582776507
607	247	349	668	1083	1592	7.45490082732221
608	6	143	146	349	3023	7.45480612071491
609	143	146	310	349	668	7.45479882952607
610	146	152	241	349	1083	7.45469674566264
611	146	168	349	564	1096	7.45457134602743
612	6	146	349	531	1096	7.45451586343884
613	6	143	241	349	1073	7.45447942527934
614	143	152	241	349	899	7.45423534890772
615	143	152	280	310	349	7.45418941200929
616	6	143	152	349	848	7.45350443802365
617	146	241	280	349	1482	7.45348293301897
618	6	143	152	319	349	7.45347005795475
619	143	152	280	349	531	7.45339495632979
620	143	146	241	349	719	7.4532129227686
621	152	310	349	668	1592	7.45318490821487
622	203	349	668	1083	1669	7.45316216033967
623	143	152	349	392	1592	7.45298102477466
624	6	143	349	668	1482	7.45297457119611
625	6	143	152	349	1374	7.45291680795475
626	143	168	349	1096	1482	7.45284250044727
627	143	152	241	349	3023	7.45280584890772
628	143	168	280	349	531	7.45280505914178
629	143	146	152	349	3342	7.45273675881096
630	6	143	152	349	4343	7.45270805795475
631	72	247	349	668	1083	7.45255084020053
632	6	143	152	349	485	7.45254855795475
633	6	143	146	349	1532	7.45248224091636
634	6	146	168	349	2213	7.45243548512391
635	152	280	349	392	1592	7.45242243745094
636	146	152	280	349	668	7.45241407493647
637	6	139	146	168	349	7.45234706650642
638	6	143	168	349	564	7.4522787222466
639	6	146	168	349	617	7.45226106650642
640	146	168	349	1096	3173	7.45218353321386
641	6	143	152	349	1007	7.45212480714405
642	143	152	241	349	1798	7.45189461287706
643	143	203	349	668	1073	7.45161048202659
644	143	152	241	349	551	7.45159611235063
645	6	168	349	1096	1592	7.4514515748374
646	6	146	168	349	646	7.45123753700709
647	6	143	146	290	349	7.45119762071491
648	143	146	349	531	1096	7.45116783530287
649	6	143	168	349	3173	7.45106654963201
650	143	152	241	349	3235	7.45105659890772
651	143	241	349	668	1096	7.45094760465216
652	143	152	241	349	867	7.45087142848106
653	143	152	196	241	349	7.45076544253674
654	143	241	349	668	1669	7.45064368849049
655	152	241	349	1096	1592	7.45063883956189
656	280	349	392	1096	1532	7.45063209968748
657	6	146	168	211	349	7.45060006650642
658	146	152	349	668	1096	7.45056082843857
659	6	143	152	309	349	7.45044905795475
660	14	143	152	280	349	7.45044221020921
661	143	146	152	349	994	7.45043850881096
662	6	280	349	1482	1592	7.45042051594016
663	6	143	203	310	349	7.45037546286686
664	6	146	152	349	1028	7.4499595153742
665	6	143	280	349	2213	7.44992281232169
666	6	14	143	168	349	7.44988440910249
667	6	146	168	349	1798	7.44985696651687
668	143	152	280	349	1083	7.44983937349411
669	6	143	152	349	2866	7.44982980795475
670	143	146	152	349	415	7.44961999226133
671	143	146	152	349	1892	7.44961127643016
672	6	143	152	349	1728	7.44944380795475
673	6	143	152	232	349	7.44935255795475
